Datum;Eröffnungspreis
2017-01-01;913,5
2017-04-01;1.007,0
2017-07-01;2.142,9
2017-10-01;3.659,0
2018-01-01;11.994,5
2018-04-01;5.615,0
2018-07-01;5.457,7
2018-10-01;5.687,0
2019-01-01;3.235,9
2019-04-01;3.646,2
2019-07-01;9.452,5
2019-10-01;7.619,0
2020-01-01;6.397,4
2020-04-01;5.835,8
2020-07-01;8.139,4
2020-10-01;9.189,9
2021-01-01;23.647,2
2021-04-01;50.016,3
2021-07-01;29.580,7
2021-10-01;37.862,1
2022-01-01;40.650,2
2022-04-01;41.095,8
2022-07-01;19.038,6
2022-10-01;19.816,9
2023-01-01;15.423,0
2023-04-01;26.266,5
2023-07-01;27.899,8
2023-10-01;25.507,0
2024-01-01;38.404,5
2024-04-01;66.064,3
2024-07-01;58.422,2
2024-10-01;56.874,6
